FeatureCode,DateCode,Measurement,Units,Value,Waste Management,Waste Category
S12000047,2011,Count,Tonnes,0,Landfilled,Used oils
S12000028,2011,Count,Tonnes,58481,Waste Generated,Total Waste
S12000020,2011,Count,Tonnes,0,Other Diversion,Household and similar wastes
S12000035,2011,Count,Tonnes,0,Recycled (pre 2014 method),Combustion wastes
S12000041,2011,Count,Tonnes,0,Landfilled,Vegetal wastes
S12000028,2011,Count,Tonnes,0,Other Diversion,Paper and cardboard wastes
S12000028,2011,Ratio,Percentage,48,Recycled (pre 2014 method),Total Waste
S12000028,2011,Count,Tonnes,192,Waste Generated,Paper and cardboard wastes
S12000005,2011,Count,Tonnes,0,Recycled (pre 2014 method),Mixed and undifferentiated materials
S12000041,2011,Count,Tonnes,934,Waste Generated,"Metallic wastes, mixed ferrous and non-ferrous"
S12000020,2011,Count,Tonnes,0,Other Diversion,Vegetal wastes
S12000035,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, non-ferrous"
S12000011,2011,Count,Tonnes,681,Recycled (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000020,2011,Count,Tonnes,0,Waste Generated,Soils
S12000049,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Mixed and undifferentiated materials
S12000049,2011,Count,Tonnes,741,Recycled (pre 2014 method),Textile wastes
S12000005,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Soils
S12000005,2011,Count,Tonnes,0,Landfilled,Plastic wastes
S12000035,2011,Count,Tonnes,0,Recycled (pre 2014 method),Soils
S12000035,2011,Count,Tonnes,0,Landfilled,Batteries and accumulators wastes
S12000011,2011,Count,Tonnes,0,Waste Generated,Soils
S12000049,2011,Count,Tonnes,468,Recycled (pre 2014 method),"Metallic wastes, ferrous"
S12000035,2011,Count,Tonnes,3,Recycled,Rubber wastes
S12000041,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Mixed and undifferentiated materials
S12000041,2011,Count,Tonnes,0,Waste Generated,Soils
S12000005,2011,Count,Tonnes,0,Landfilled,Textile wastes
S12000049,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Used oils
S12000005,2011,Count,Tonnes,0,Other Diversion,Batteries and accumulators wastes
S12000047,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, ferrous"
S12000047,2011,Count,Tonnes,0,Landfilled,Discarded vehicles
S12000049,2011,Count,Tonnes,67017,Recycled,Total Waste
S12000047,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000041,2011,Count,Tonnes,22725,Landfilled,Total Waste
S12000047,2011,Count,Tonnes,0,Waste Generated,Health care and biological wastes
S12000047,2011,Count,Tonnes,204,Recycled,"Metallic wastes, ferrous"
S12000027,2011,Count,Tonnes,536,Recycled,Glass wastes
S12000005,2011,Count,Tonnes,6,Recycled,Batteries and accumulators wastes
S12000020,2011,Count,Tonnes,28996,Landfilled,Household and similar wastes
S12000027,2011,Count,Tonnes,0,Other Diversion,Used oils
S12000041,2011,Count,Tonnes,0,Landfilled,Plastic wastes
S12000011,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Animal and mixed food waste
S12000011,2011,Count,Tonnes,0,Other Diversion,Wood wastes
S12000027,2011,Count,Tonnes,434,Waste Generated,Glass wastes
S12000011,2011,Count,Tonnes,0,Landfilled,Soils
S12000005,2011,Count,Tonnes,0,Other Diversion,Vegetal wastes
S12000027,2011,Count,Tonnes,0,Recycled,Chemical wastes
S12000011,2011,Count,Tonnes,0,Other Diversion,Soils
S12000011,2011,Count,Tonnes,0,Landfilled,Paper and cardboard wastes
S12000041,2011,Count,Tonnes,0,Other Diversion,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000027,2011,Count,Tonnes,0,Other Diversion,Mixed and undifferentiated materials
S12000027,2011,Count,Tonnes,3,Recycled,Used oils
S12000036,2011,Count,Tonnes,1003,Waste Generated,"Metallic wastes, mixed ferrous and non-ferrous"
S12000041,2011,Count,Tonnes,0,Landfilled,Batteries and accumulators wastes
S12000041,2011,Count,Tonnes,1936,Recycled (pre 2014 method),Mineral waste from construction and demolition
S12000049,2011,Count,Tonnes,0,Landfilled,Batteries and accumulators wastes
S12000049,2011,Count,Tonnes,7200,Recycled (pre 2014 method),Glass wastes
S12000027,2011,Count,Tonnes,0,Other Diversion,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000011,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000027,2011,Count,Tonnes,0,Landfilled,Rubber wastes
S12000047,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Mixed and undifferentiated materials
S12000011,2011,Count,Tonnes,377,Recycled (pre 2014 method),Textile wastes
S12000011,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Vegetal wastes
S12000041,2011,Count,Tonnes,0,Recycled,Health care and biological wastes
S12000041,2011,Count,Tonnes,0,Recycled (pre 2014 method),Health care and biological wastes
S12000005,2011,Count,Tonnes,0,Recycled,Animal and mixed food waste
S12000041,2011,Count,Tonnes,8,Recycled (pre 2014 method),Mixed and undifferentiated materials
S12000036,2011,Count,Tonnes,59077,Recycled,Total Waste
S12000011,2011,Count,Tonnes,0,Waste Generated,Discarded vehicles
S12000020,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Mineral waste from construction and demolition
S12000027,2011,Count,Tonnes,3,Waste Generated,Used oils
S12000020,2011,Count,Tonnes,1031,Recycled (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000049,2011,Count,Tonnes,0,Landfilled,Mixed and undifferentiated materials
S12000005,2011,Count,Tonnes,32,Recycled (pre 2014 method),Rubber wastes
S12000005,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Textile wastes
S12000011,2011,Count,Tonnes,20744,Landfilled,Total Waste
S12000020,2011,Count,Tonnes,8027,Waste Generated,Vegetal wastes
S12000036,2011,Count,Tonnes,7580,Recycled (pre 2014 method),Glass wastes
S12000005,2011,Count,Tonnes,0,Other Diversion,Animal and mixed food waste
S12000036,2011,Count,Tonnes,2060,Recycled (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000027,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000041,2011,Ratio,Percentage,1,Other Diversion (pre 2014 method),Total Waste
S12000027,2011,Count,Tonnes,0,Waste Generated,"Metallic wastes, non-ferrous"
S12000036,2011,Count,Tonnes,0,Other Diversion,Mixed and undifferentiated materials
S12000049,2011,Count,Tonnes,0,Landfilled,Used oils
S12000036,2011,Count,Tonnes,0,Other Diversion,Glass wastes
S12000005,2011,Count,Tonnes,4320,Recycled,Vegetal wastes
S12000049,2011,Count,Tonnes,15,Recycled,Used oils
S12000049,2011,Count,Tonnes,0,Other Diversion,Discarded vehicles
S12000027,2011,Count,Tonnes,112,Waste Generated,Mixed and undifferentiated materials
S12000049,2011,Count,Tonnes,0,Waste Generated,"Metallic wastes, non-ferrous"
S12000036,2011,Count,Tonnes,7580,Recycled,Glass wastes
S12000005,2011,Count,Tonnes,573,Recycled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000027,2011,Count,Tonnes,0,Recycled (pre 2014 method),Mineral waste from construction and demolition
S12000020,2011,Count,Tonnes,0,Other Diversion,Glass wastes
S12000027,2011,Count,Tonnes,7,Recycled (pre 2014 method),"Metallic wastes, non-ferrous"
S12000020,2011,Count,Tonnes,23338,Recycled (pre 2014 method),Total Waste
S12000020,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, mixed ferrous and non-ferrous"
S12000005,2011,Count,Tonnes,1712,Waste Generated,Wood wastes
S12000036,2011,Count,Tonnes,4,Waste Generated,Used oils
S12000011,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Health care and biological wastes
S12000020,2011,Count,Tonnes,8,Recycled,Batteries and accumulators wastes
S12000011,2011,Count,Tonnes,93,Recycled (pre 2014 method),Soils
S12000049,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000020,2011,Count,Tonnes,0,Other Diversion,Mineral waste from construction and demolition
S12000027,2011,Count,Tonnes,536,Recycled (pre 2014 method),Glass wastes
S12000020,2011,Count,Tonnes,2363,Waste Generated,Animal and mixed food waste
S12000020,2011,Count,Tonnes,0,Landfilled,Mixed and undifferentiated materials
S12000041,2011,Count,Tonnes,0,Recycled (pre 2014 method),"Metallic wastes, non-ferrous"
S12000020,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000027,2011,Count,Tonnes,0,Other Diversion,Glass wastes
S12000020,2011,Count,Tonnes,2778,Recycled,Mineral waste from construction and demolition
S12000027,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, non-ferrous"
S12000028,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Batteries and accumulators wastes
S12000028,2011,Count,Tonnes,0,Other Diversion,Health care and biological wastes
S12000028,2011,Count,Tonnes,0,Landfilled,Health care and biological wastes
S12000028,2011,Count,Tonnes,373,Recycled (pre 2014 method),"Metallic wastes, ferrous"
S12000035,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Soils
S12000011,2011,Count,Tonnes,1411,Recycled,Wood wastes
S12000011,2011,Ratio,Percentage,46,Landfilled,Total Waste
S12000011,2011,Count,Tonnes,8,Recycled (pre 2014 method),Batteries and accumulators wastes
S12000028,2011,Count,Tonnes,0,Recycled,Chemical wastes
S12000005,2011,Count,Tonnes,0,Landfilled,Glass wastes
S12000028,2011,Count,Tonnes,0,Other Diversion,Total Waste
S12000035,2011,Count,Tonnes,0,Recycled,Combustion wastes
S12000049,2011,Count,Tonnes,0,Waste Generated,Plastic wastes
S12000005,2011,Count,Tonnes,0,Recycled (pre 2014 method),Animal and mixed food waste
S12000028,2011,Count,Tonnes,0,Landfilled,Paper and cardboard wastes
S12000028,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, non-ferrous"
S12000011,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Soils
S12000011,2011,Count,Tonnes,0,Recycled (pre 2014 method),Health care and biological wastes
S12000005,2011,Count,Tonnes,7,Recycled,Used oils
S12000049,2011,Count,Tonnes,1814,Recycled (pre 2014 method),Plastic wastes
S12000035,2011,Count,Tonnes,190,Recycled (pre 2014 method),Textile wastes
S12000011,2011,Count,Tonnes,18,Recycled,"Metallic wastes, non-ferrous"
S12000035,2011,Count,Tonnes,6484,Other Diversion (pre 2014 method),Household and similar wastes
S12000028,2011,Count,Tonnes,28196,Recycled,Total Waste
S12000005,2011,Count,Tonnes,6,Recycled (pre 2014 method),Batteries and accumulators wastes
S12000005,2011,Count,Tonnes,15911,Recycled (pre 2014 method),Total Waste
S12000011,2011,Count,Tonnes,8,Waste Generated,Used oils
S12000011,2011,Count,Tonnes,24000,Recycled,Total Waste
S12000047,2011,Count,Tonnes,204,Waste Generated,"Metallic wastes, ferrous"
S12000047,2011,Count,Tonnes,40,Recycled (pre 2014 method),Chemical wastes
S12000005,2011,Count,Tonnes,7,Recycled (pre 2014 method),Used oils
S12000049,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Paper and cardboard wastes
S12000049,2011,Count,Tonnes,0,Other Diversion,Plastic wastes
S12000005,2011,Count,Tonnes,397,Waste Generated,"Metallic wastes, mixed ferrous and non-ferrous"
S12000020,2011,Count,Tonnes,4995,Recycled,Paper and cardboard wastes
S12000028,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Rubber wastes
S12000005,2011,Count,Tonnes,0,Other Diversion,Mineral waste from construction and demolition
S12000011,2011,Count,Tonnes,0,Other Diversion,Textile wastes
S12000005,2011,Count,Tonnes,6,Waste Generated,Batteries and accumulators wastes
S12000011,2011,Count,Tonnes,0,Other Diversion,Vegetal wastes
S12000041,2011,Count,Tonnes,19452,Landfilled,Household and similar wastes
S12000028,2011,Count,Tonnes,0,Other Diversion,Wood wastes
S12000028,2011,Count,Tonnes,143,Recycled,Batteries and accumulators wastes
S12000020,2011,Count,Tonnes,92,Waste Generated,Plastic wastes
S12000020,2011,Count,Tonnes,0,Landfilled,Paper and cardboard wastes
S12000020,2011,Count,Tonnes,0,Other Diversion,Discarded vehicles
S12000005,2011,Count,Tonnes,0,Landfilled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000028,2011,Count,Tonnes,1144,Recycled,Wood wastes
S12000011,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Textile wastes
S12000005,2011,Count,Tonnes,0,Waste Generated,Animal and mixed food waste
S12000047,2011,Count,Tonnes,0,Recycled (pre 2014 method),Health care and biological wastes
S12000028,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Health care and biological wastes
S12000028,2011,Count,Tonnes,629,Waste Generated,Wood wastes
S12000041,2011,Count,Tonnes,0,Recycled (pre 2014 method),"Metallic wastes, ferrous"
S12000028,2011,Count,Tonnes,0,Recycled (pre 2014 method),Combustion wastes
S12000020,2011,Count,Tonnes,92,Recycled (pre 2014 method),Plastic wastes
S12000028,2011,Count,Tonnes,1228,Recycled,Mixed and undifferentiated materials
S12000049,2011,Count,Tonnes,16855,Recycled (pre 2014 method),Paper and cardboard wastes
S12000005,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000005,2011,Count,Tonnes,14319,Landfilled,Household and similar wastes
S12000028,2011,Count,Tonnes,0,Recycled (pre 2014 method),Health care and biological wastes
S12000005,2011,Count,Tonnes,573,Recycled (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000028,2011,Count,Tonnes,0,Recycled,Health care and biological wastes
S12000049,2011,Count,Tonnes,0,Landfilled,Textile wastes
S12000011,2011,Count,Tonnes,3908,Waste Generated,Vegetal wastes
S12000005,2011,Count,Tonnes,349,Recycled (pre 2014 method),Textile wastes
S12000028,2011,Count,Tonnes,28196,Recycled (pre 2014 method),Total Waste
S12000020,2011,Count,Tonnes,0,Other Diversion,Plastic wastes
S12000020,2011,Count,Tonnes,0,Other Diversion,Batteries and accumulators wastes
S12000028,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Mixed and undifferentiated materials
S12000020,2011,Count,Tonnes,0,Waste Generated,Health care and biological wastes
S12000028,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, ferrous"
S12000005,2011,Count,Tonnes,0,Recycled (pre 2014 method),Combustion wastes
S12000005,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Household and similar wastes
S12000005,2011,Count,Tonnes,349,Waste Generated,Textile wastes
S12000035,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Plastic wastes
S12000028,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, non-ferrous"
S12000011,2011,Count,Tonnes,743,Waste Generated,Plastic wastes
S12000028,2011,Ratio,Percentage,52,Landfilled,Total Waste
S12000020,2011,Count,Tonnes,0,Recycled (pre 2014 method),Discarded vehicles
S12000005,2011,Count,Tonnes,0,Other Diversion,Household and similar wastes
S12000005,2011,Count,Tonnes,349,Recycled,Textile wastes
S12000047,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Combustion wastes
S12000028,2011,Count,Tonnes,8,Recycled (pre 2014 method),"Metallic wastes, non-ferrous"
S12000047,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Glass wastes
S12000049,2011,Count,Tonnes,2849,Recycled (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000028,2011,Count,Tonnes,0,Waste Generated,Chemical wastes
S12000035,2011,Count,Tonnes,0,Other Diversion,Vegetal wastes
S12000028,2011,Count,Tonnes,0,Landfilled,Mixed and undifferentiated materials
S12000041,2011,Count,Tonnes,2812,Recycled,Wood wastes
S12000011,2011,Count,Tonnes,3,Recycled (pre 2014 method),Chemical wastes
S12000005,2011,Count,Tonnes,1858,Waste Generated,Mineral waste from construction and demolition
S12000005,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Batteries and accumulators wastes
S12000049,2011,Count,Tonnes,1313,Recycled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000035,2011,Count,Tonnes,0,Other Diversion,Health care and biological wastes
S12000011,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Chemical wastes
S12000020,2011,Count,Tonnes,1333,Recycled (pre 2014 method),Wood wastes
S12000028,2011,Count,Tonnes,0,Waste Generated,Rubber wastes
S12000005,2011,Count,Tonnes,0,Landfilled,Used oils
S12000035,2011,Count,Tonnes,0,Landfilled,Mixed and undifferentiated materials
S12000020,2011,Count,Tonnes,0,Landfilled,Animal and mixed food waste
S12000005,2011,Count,Tonnes,0,Landfilled,Combustion wastes
S12000049,2011,Count,Tonnes,1313,Waste Generated,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000028,2011,Count,Tonnes,8,Recycled,"Metallic wastes, non-ferrous"
S12000041,2011,Count,Tonnes,0,Landfilled,Wood wastes
S12000020,2011,Count,Tonnes,0,Other Diversion,Animal and mixed food waste
S12000035,2011,Count,Tonnes,1540,Recycled,Vegetal wastes
S12000005,2011,Count,Tonnes,18534,Waste Generated,Household and similar wastes
S12000011,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Mineral waste from construction and demolition
S12000011,2011,Count,Tonnes,0,Recycled (pre 2014 method),Discarded vehicles
S12000035,2011,Count,Tonnes,121,Recycled (pre 2014 method),"Metallic wastes, ferrous"
S12000049,2011,Count,Tonnes,218,Waste Generated,Wood wastes
S12000011,2011,Count,Tonnes,506,Recycled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000041,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Household and similar wastes
S12000020,2011,Count,Tonnes,1333,Recycled,Wood wastes
S12000028,2011,Count,Tonnes,1144,Recycled (pre 2014 method),Wood wastes
S12000020,2011,Count,Tonnes,788,Recycled,Animal and mixed food waste
S12000028,2011,Count,Tonnes,0,Recycled (pre 2014 method),Rubber wastes
S12000028,2011,Count,Tonnes,0,Landfilled,Rubber wastes
S12000020,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Household and similar wastes
S12000011,2011,Ratio,Percentage,53,Recycled,Total Waste
S12000041,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Rubber wastes
S12000011,2011,Count,Tonnes,93,Recycled,Soils
S12000028,2011,Count,Tonnes,0,Waste Generated,Discarded vehicles
S12000028,2011,Count,Tonnes,0,Other Diversion,Batteries and accumulators wastes
S12000049,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000041,2011,Count,Tonnes,10656,Recycled (pre 2014 method),Vegetal wastes
S12000035,2011,Count,Tonnes,3,Recycled (pre 2014 method),Rubber wastes
S12000047,2011,Count,Tonnes,299,Waste Generated,Rubber wastes
S12000020,2011,Count,Tonnes,0,Recycled,Combustion wastes
S12000041,2011,Count,Tonnes,0,Waste Generated,Combustion wastes
S12000005,2011,Count,Tonnes,7,Waste Generated,Used oils
S12000041,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Soils
S12000011,2011,Count,Tonnes,24000,Recycled (pre 2014 method),Total Waste
S12000020,2011,Count,Tonnes,0,Other Diversion,Used oils
S12000028,2011,Ratio,Percentage,0,Other Diversion,Total Waste
S12000028,2011,Count,Tonnes,0,Waste Generated,Health care and biological wastes
S12000005,2011,Count,Tonnes,15,Recycled,Household and similar wastes
S12000020,2011,Count,Tonnes,14,Recycled,Mixed and undifferentiated materials
S12000011,2011,Count,Tonnes,0,Landfilled,Vegetal wastes
S12000035,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Mineral waste from construction and demolition
S12000011,2011,Count,Tonnes,0,Other Diversion,Mineral waste from construction and demolition
S12000005,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Used oils
S12000041,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, mixed ferrous and non-ferrous"
S12000011,2011,Count,Tonnes,0,Landfilled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000020,2011,Count,Tonnes,0,Recycled,"Metallic wastes, ferrous"
S12000020,2011,Count,Tonnes,0,Landfilled,Textile wastes
S12000035,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Rubber wastes
S12000049,2011,Count,Tonnes,0,Other Diversion,Textile wastes
S12000049,2011,Count,Tonnes,16855,Recycled,Paper and cardboard wastes
S12000005,2011,Count,Tonnes,0,Other Diversion,Glass wastes
S12000020,2011,Count,Tonnes,92,Recycled,Plastic wastes
S12000005,2011,Count,Tonnes,0,Other Diversion,Used oils
S12000020,2011,Count,Tonnes,0,Other Diversion,Wood wastes
S12000047,2011,Count,Tonnes,0,Other Diversion,Glass wastes
S12000028,2011,Count,Tonnes,0,Landfilled,Wood wastes
S12000041,2011,Count,Tonnes,37,Recycled,Discarded vehicles
S12000011,2011,Count,Tonnes,9263,Recycled,Vegetal wastes
S12000020,2011,Count,Tonnes,0,Landfilled,Glass wastes
S12000011,2011,Count,Tonnes,45191,Waste Generated,Total Waste
S12000028,2011,Ratio,Percentage,0,Other Diversion (pre 2014 method),Total Waste
S12000028,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Total Waste
S12000028,2011,Count,Tonnes,0,Other Diversion,Chemical wastes
S12000049,2011,Count,Tonnes,0,Landfilled,Wood wastes
S12000020,2011,Count,Tonnes,0,Other Diversion,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000028,2011,Count,Tonnes,0,Recycled,Combustion wastes
S12000020,2011,Count,Tonnes,233,Recycled (pre 2014 method),Textile wastes
S12000047,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000041,2011,Count,Tonnes,603,Other Diversion (pre 2014 method),Total Waste
S12000020,2011,Count,Tonnes,788,Recycled (pre 2014 method),Animal and mixed food waste
S12000011,2011,Count,Tonnes,9263,Recycled (pre 2014 method),Vegetal wastes
S12000035,2011,Count,Tonnes,0,Waste Generated,Chemical wastes
S12000020,2011,Count,Tonnes,0,Landfilled,Used oils
S12000020,2011,Count,Tonnes,0,Other Diversion,Total Waste
S12000036,2011,Count,Tonnes,1056,Recycled (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000041,2011,Count,Tonnes,475,Waste Generated,Plastic wastes
S12000027,2011,Count,Tonnes,0,Waste Generated,Soils
S12000006,2011,Count,Tonnes,2671,Recycled,Vegetal wastes
S12000027,2011,Count,Tonnes,2,Recycled (pre 2014 method),Animal and mixed food waste
